link|title_x|description_x|loaddate
http://arxiv.org/abs/1903.12178|Open-ended  Evolution  and  a  Mechanism  of  Novelties  in  Web  Services.  (arXiv:1903.12178v1  [cs.SI])|<p>Analogous  to  living  ecosystems  in  nature,  web  services  form  an  artificialecosystem  consisting  of  many  tags  and  their  associated  media,  such  asphotographs,  movies,  and  web  pages  created  by  human  users.  Concerningbiological  ecosystems,  we  regard  tag  as  a  species  and  human  as  a  hiddenenvironmental  resource.  We  subsequently  analyze  the  evolution  of  the  webservices,  in  particular  social  tagging  systems,  with  respect  to  theself-organization  of  new  tags.  The  evolution  of  new  combinations  of  tags  isanalyzed  as  the  open-ended  evolution  (OEE)  index.  The  tag  meaning  is  computedby  the  types  of  associated  tags;  tags  that  vary  their  meanings  temporallyexist.  We  argue  that  such  tags  are  the  examples  of  OEE.</p>|2019-04-01  22:52:19.484094
http://arxiv.org/abs/1903.12204|Mutex-based  Desanonymization  of  an  Anonymous  Read/Write  Memory.  (arXiv:1903.12204v1  [cs.DC])|<p>Anonymous  shared  memory  is  a  memory  in  which  processes  use  different  namesfor  the  same  shared  read/write  register.  As  an  example,  a  shared  register  named$A$  by  a  process  $p$  and  a  shared  register  named  $B$  by  another  process  $q$  cancorrespond  to  the  very  same  register  $X$,  and  similarly  for  the  names  $B$  at$p$  and  $A$  at  $q$  which  can  correspond  to  the  same  register  $Y\neq  X$.  Hence,there  is  a  permanent  disagreement  on  the  register  names  among  the  processes.This  new  notion  of  anonymity  was  recently  introduced  by  G.  Taubenfeld  (PODC2017),  who  presented  several  memory-anonymous  algorithms  and  impossibilityresults.</p><p>This  paper  introduces  a  new  problem  (new  to  our  knowledge),  that  consists  in"desanonymizing"  an  anonymous  shared  memory.  To  this  end,  it  presents  analgorithm  that,  starting  with  a  shared  memory  made  up  of  $m$  anonymousread/write  atomic  registers  (i.e.,  there  is  no  a  priori  agreement  on  theirnames),  allows  each  process  to  compute  a  local  addressing  mapping,  such  thatall  the  processes  agree  on  the  names  of  each  register.  The  proposedconstruction  is  based  on  an  underlying  deadlock-free  mutex  algorithm  for  $n\geq2$  processes  (recently  proposed  in  a  paper  co-authored  by  some  of  the  authorsof  this  paper),  and  consequently  inherits  its  necessary  and  sufficientcondition  on  the  size  $m$  of  the  anonymous  memory,  namely  $m$  must  belongs  tothe  set  $M(n)=\{m:~$  such  that  $\forall~  \ell:  1&lt;\ell  \leq  n:~\gcd(\ell,m)=1\}\setminus  \{1\}$.  This  algorithm,  which  is  also  symmetric  inthe  sense  process  identities  can  only  be  compared  by  equality,  requires  theparticipation  of  all  the  processes;  hence  it  can  be  part  of  the  systeminitialization.  Last  but  not  least,  the  proposed  algorithm  has  a  first-classnoteworthy  property,  namely,  its  simplicity.</p>|2019-04-01  22:52:19.484139
http://arxiv.org/abs/1903.12206|Counting  with  Focus  for  Free.  (arXiv:1903.12206v1  [cs.CV])|<p>This  paper  aims  to  count  arbitrary  objects  in  images.  The  leading  countingapproaches  start  from  point  annotations  per  object  from  which  they  constructdensity  maps.  Then,  their  training  objective  transforms  input  images  to  densitymaps  through  deep  convolutional  networks.  We  posit  that  the  point  annotationsserve  more  supervision  purposes  than  just  constructing  density  maps.  Weintroduce  ways  to  repurpose  the  points  for  free.  First,  we  propose  supervisedfocus  from  segmentation,  where  points  are  converted  into  binary  maps.  Thebinary  maps  are  combined  with  a  network  branch  and  accompanying  loss  functionto  focus  on  areas  of  interest.  Second,  we  propose  supervised  focus  from  globaldensity,  where  the  ratio  of  point  annotations  to  image  pixels  is  used  inanother  branch  to  regularize  the  overall  density  estimation.  To  assist  both  thedensity  estimation  and  the  focus  from  segmentation,  we  also  introduce  animproved  kernel  size  estimator  for  the  point  annotations.  Experiments  on  fourdatasets  show  that  all  our  contributions  reduce  the  counting  error,  regardlessof  the  base  network,  resulting  in  state-of-the-art  accuracy  using  only  a  singlenetwork.  Finally,  we  are  the  first  to  count  on  WIDER  FACE,  allowing  us  to  showthe  benefits  of  our  approach  in  handling  varying  object  scales  and  crowdinglevels.</p>|2019-04-01  22:52:19.484180
http://arxiv.org/abs/1903.12211|Privacy  of  trajectory  micro-data  :  a  survey.  (arXiv:1903.12211v1  [cs.CR])|<p>We  survey  the  literature  on  the  privacy  of  trajectory  micro-data,  i.e.,spatiotemporal  information  about  the  mobility  of  individuals,  whose  collectionis  becoming  increasingly  simple  and  frequent  thanks  to  emerging  information  andcommunication  technologies.  The  focus  of  our  review  is  on  privacy-preservingdata  publishing  (PPDP),  i.e.,  the  publication  of  databases  of  trajectorymicro-data  that  preserve  the  privacy  of  the  monitored  individuals.  We  classifyand  present  the  literature  of  attacks  against  trajectory  micro-data,  as  well  assolutions  proposed  to  date  for  protecting  databases  from  such  attacks.  Thispaper  serves  as  an  introductory  reading  on  a  critical  subject  in  an  era  ofgrowing  awareness  about  privacy  risks  connected  to  digital  services,  andprovides  insights  into  open  problems  and  future  directions  for  research.</p>|2019-04-01  22:52:19.484250
http://arxiv.org/abs/1903.12212|All  about  Structure:  Adapting  Structural  Information  across  Domains  for  Boosting  Semantic  Segmentation.  (arXiv:1903.12212v1  [cs.CV])|<p>In  this  paper  we  tackle  the  problem  of  unsupervised  domain  adaptation  for  thetask  of  semantic  segmentation,  where  we  attempt  to  transfer  the  knowledgelearned  upon  synthetic  datasets  with  ground-truth  labels  to  real-world  imageswithout  any  annotation.  With  the  hypothesis  that  the  structural  content  ofimages  is  the  most  informative  and  decisive  factor  to  semantic  segmentation  andcan  be  readily  shared  across  domains,  we  propose  a  Domain  Invariant  StructureExtraction  (DISE)  framework  to  disentangle  images  into  domain-invariantstructure  and  domain-specific  texture  representations,  which  can  furtherrealize  image-translation  across  domains  and  enable  label  transfer  to  improvesegmentation  performance.  Extensive  experiments  verify  the  effectiveness  of  ourproposed  DISE  model  and  demonstrate  its  superiority  over  severalstate-of-the-art  approaches.</p>|2019-04-01  22:52:19.484314
http://arxiv.org/abs/1903.12216|Towards  6G  Networks:  Use  Cases  and  Technologies.  (arXiv:1903.12216v1  [cs.NI])|<p>As  the  digital  world  becomes  increasingly  intelligent,  automated  andubiquitous,  the  flow  of  data  becomes  ever  more  vital.  Mobile  wireless  networksare  the  data  highways,  and  in  a  fully  connected,  intelligent  digital  world,they  will  need  to  connect  everything  from  people,  vehicles,  sensors,  data,cloud  resources  and  even  robotic  agents.  Fifth  generation  (5G)  wirelessnetworks  that  are  being  released  soon  offer  significant  advances,  but  may  beunable  to  meet  the  full  connectivity  demands  of  emerging  systems.  This  paperenvisions  how  6G  systems  can  be  developed  to  address  the  needs  of  smartnetworks  of  the  future.  The  article  considers  several  potential  6G  use  casesand  attempts  to  provide  estimates  on  requirements  to  guide  design.  The  demandsare  daunting,  but  several  promising  technologies  that  can  provide  the  basis  for6G  systems  are  also  surveyed.</p>|2019-04-01  22:52:19.484349
http://arxiv.org/abs/1903.12220|The  Algorithmic  Automation  Problem:  Prediction,  Triage,  and  Human  Effort.  (arXiv:1903.12220v1  [cs.CV])|<p>In  a  wide  array  of  areas,  algorithms  are  matching  and  surpassing  theperformance  of  human  experts,  leading  to  consideration  of  the  roles  of  humanjudgment  and  algorithmic  prediction  in  these  domains.  The  discussion  aroundthese  developments,  however,  has  implicitly  equated  the  specific  task  ofprediction  with  the  general  task  of  automation.  We  argue  here  that  automationis  broader  than  just  a  comparison  of  human  versus  algorithmic  performance  on  atask;  it  also  involves  the  decision  of  which  instances  of  the  task  to  give  tothe  algorithm  in  the  first  place.  We  develop  a  general  framework  that  posesthis  latter  decision  as  an  optimization  problem,  and  we  show  how  basicheuristics  for  this  optimization  problem  can  lead  to  performance  gains  even  onheavily-studied  applications  of  AI  in  medicine.  Our  framework  also  serves  tohighlight  how  effective  automation  depends  crucially  on  estimating  bothalgorithmic  and  human  error  on  an  instance-by-instance  basis,  and  our  resultsshow  how  improvements  in  these  error  estimation  problems  can  yield  significantgains  for  automation  as  well.</p>|2019-04-01  22:52:19.484383
http://arxiv.org/abs/1903.12221|Mitigating  Cold  Starts  in  Serverless  Platforms:  A  Pool-Based  Approach.  (arXiv:1903.12221v1  [cs.DC])|<p>Rapid  adoption  of  the  serverless  (or  Function-as-a-Service,  FaaS)  paradigm,pioneered  by  Amazon  with  AWS  Lambda  and  followed  by  numerous  commercialofferings  and  open  source  projects,  introduces  new  challenges  in  designing  thecloud  infrastructure,  balancing  between  performance  and  cost.  While  instantper-request  elasticity  that  FaaS  platforms  typically  offer  applicationdevelopers  makes  it  possible  to  achieve  high  performance  of  bursty  workloadswithout  over-provisioning,  such  elasticity  often  involves  extra  latencyassociated  with  on-demand  provisioning  of  individual  runtime  containers  thatserve  the  functions.  This  phenomenon  is  often  called  cold  starts,  as  opposed  tothe  situation  when  a  function  is  served  by  a  pre-provisioned  "warm"  container,ready  to  serve  requests  with  close  to  zero  overhead.  Providers  are  constantlyworking  on  techniques  aimed  at  reducing  cold  starts.  A  common  approach  toreduce  cold  starts  is  to  maintain  a  pool  of  warm  containers,  in  anticipation  offuture  requests.  In  this  report,  we  address  the  cold  start  problem  inserverless  architectures,  specifically  under  the  Knative  Serving  FaaS  platform.We  describe  our  implementation  leveraging  a  pool  of  function  instances,  andevaluate  the  latency  compared  to  the  original  implementation,  resulting  in  a85%  reduction  of  P99  response  time  for  a  single  instance  pool.</p>|2019-04-01  22:52:19.484414
http://arxiv.org/abs/1903.12225|Arc-disjoint  Strong  Spanning  Subdigraphs  of  Semicomplete  Compositions.  (arXiv:1903.12225v1  [cs.DM])|<p>A  strong  arc  decomposition  of  a  digraph  $D=(V,A)$  is  a  decomposition  of  itsarc  set  $A$  into  two  disjoint  subsets  $A_1$  and  $A_2$  such  that  both  of  thespanning  subdigraphs  $D_1=(V,A_1)$  and  $D_2=(V,A_2)$  are  strong.  Let  $T$  be  adigraph  with  $t$  vertices  $u_1,\dots  ,  u_t$  and  let  $H_1,\dots  H_t$  be  digraphssuch  that  $H_i$  has  vertices  $u_{i,j_i},\  1\le  j_i\le  n_i.$  Then  thecomposition  $Q=T[H_1,\dots  ,  H_t]$  is  a  digraph  with  vertex  set  $\cup_{i=1}^tV(H_i)=\{u_{i,j_i}\mid  1\le  i\le  t,  1\le  j_i\le  n_i\}$  and  arc  set  \[\left(\cup^t_{i=1}A(H_i)  \right)  \cup  \left(  \cup_{u_iu_p\in  A(T)}\{u_{ij_i}u_{pq_p}  \mid  1\le  j_i\le  n_i,  1\le  q_p\le  n_p\}  \right).  \]  Weobtain  a  characterization  of  digraph  compositions  $Q=T[H_1,\dots  H_t]$  whichhave  a  strong  arc  decomposition  when  $T$  is  a  semicomplete  digraph  and  each$H_i$  is  an  arbitrary  digraph.  Our  characterization  generalizes  acharacterization  by  Bang-Jensen  and  Yeo  (2003)  of  semicomplete  digraphs  with  astrong  arc  decomposition  and  solves  an  open  problem  by  Sun,  Gutin  and  Ai  (2018)on  strong  arc  decompositions  of  digraph  compositions  $Q=T[H_1,\dots  ,  H_t]$  inwhich  $T$  is  semicomplete  and  each  $H_i$  is  arbitrary.  Our  proofs  areconstructive  and  imply  the  existence  of  a  polynomial  algorithm  for  constructinga  \good{}  decomposition  of  a  digraph  $Q=T[H_1,\dots  ,  H_t]$,  with  $T$semicomplete,  whenever  such  a  decomposition  exists.</p>|2019-04-01  22:52:19.484445
http://arxiv.org/abs/1903.12226|Co-evolving  Tracing  and  Fault  Injection  with  Box  of  Pain.  (arXiv:1903.12226v1  [cs.DC])|<p>Distributed  systems  are  hard  to  reason  about  largely  because  of  uncertaintyabout  what  may  go  wrong  in  a  particular  execution,  and  about  whether  the  systemwill  mitigate  those  faults.  Tools  that  perturb  executions  can  help  test  whethera  system  is  robust  to  faults,  while  tools  that  observe  executions  can  helpbetter  understand  their  system-wide  effects.  We  present  Box  of  Pain,  a  tracerand  fault  injector  for  unmodified  distributed  systems  that  addresses  bothconcerns  by  interposing  at  the  system  call  level  and  dynamically  reconstructingthe  partial  order  of  communication  events  based  on  causal  relationships.  Box  ofPain's  lightweight  approach  to  tracing  and  focus  on  simulating  the  effects  ofpartial  failures  on  communication  rather  than  the  failures  themselves  sets  itapart  from  other  tracing  and  fault  injection  systems.  We  present  evidence  ofthe  promise  of  Box  of  Pain  and  its  approach  to  lightweight  observation  andperturbation  of  distributed  systems.</p>|2019-04-01  22:52:19.484475
