link|title|description
http://arxiv.org/abs/1903.11593|What  does  AI  see?  Deep  segmentation  networks  discover  biomarkers  for  lung  cancer  survival.  (arXiv:1903.11593v1  [eess.IV])|<p>Non-small-cell  lung  cancer  (NSCLC)  represents  approximately  80-85%  of  lungcancer  diagnoses  and  is  the  leading  cause  of  cancer-related  death  worldwide.Recent  studies  indicate  that  image-based  radiomics  features  from  positronemission  tomography-computed  tomography  (PET/CT)  images  have  predictive  poweron  NSCLC  outcomes.  To  this  end,  easily  calculated  functional  features  such  asthe  maximum  and  the  mean  of  standard  uptake  value  (SUV)  and  total  lesionglycolysis  (TLG)  are  most  commonly  used  for  NSCLC  prognostication,  but  theirprognostic  value  remains  controversial.  Meanwhile,  convolutional  neuralnetworks  (CNN)  are  rapidly  emerging  as  a  new  premise  for  cancer  image  analysis,with  significantly  enhanced  predictive  power  compared  to  other  hand-craftedradiomics  features.  Here  we  show  that  CNN  trained  to  perform  the  tumorsegmentation  task,  with  no  other  information  than  physician  contours,  identifya  rich  set  of  survival-related  image  features  with  remarkable  prognostic  value.In  a  retrospective  study  on  96  NSCLC  patients  before  stereotactic-bodyradiotherapy  (SBRT),  we  found  that  the  CNN  segmentation  algorithm  (U-Net)trained  for  tumor  segmentation  in  PET/CT  images,  contained  features  havingstrong  correlation  with  2-  and  5-year  overall  and  disease-specific  survivals.The  U-net  algorithm  has  not  seen  any  other  clinical  information  (e.g.  survival,age,  smoking  history)  than  the  images  and  the  corresponding  tumor  contoursprovided  by  physicians.  Furthermore,  through  visualization  of  the  U-Net,  wealso  found  convincing  evidence  that  the  regions  of  progression  appear  to  matchwith  the  regions  where  the  U-Net  features  identified  patterns  that  predictedhigher  likelihood  of  death.  We  anticipate  our  findings  will  be  a  starting  pointfor  more  sophisticated  non-intrusive  patient  specific  cancer  prognosisdetermination.</p>
http://arxiv.org/abs/1903.11596|Detecting  service  provider  alliances.  (arXiv:1903.11596v1  [cs.GT])|<p>We  present  an  algorithm  for  detecting  service  provider  alliances.  To  performthis,  we  modelize  a  cooperative  game-theoretic  model  for  competitor  serviceproviders.  A  choreography  (a  peer-to-peer  service  composition  model)  needs  aset  of  services  to  fulfill  its  requirements.  Users  must  choose,  for  eachrequirement,  which  service  providers  will  be  used  to  enact  the  choreography  atlowest  cost.  Due  to  the  lack  of  centralization,  vendors  can  form  alliances  tocontrol  the  market.  We  propose  a  novel  algorithm  capable  of  detecting  alliancesamong  service  providers,  based  on  our  findings  showing  that  this  game  has  anempty  core,  but  a  non-empty  bargaining  set.</p>
http://arxiv.org/abs/1903.11598|A  Simple  Haploid-Diploid  Evolutionary  Algorithm.  (arXiv:1903.11598v1  [cs.NE])|<p>It  has  recently  been  suggested  that  evolution  exploits  a  form  of  fitnesslandscape  smoothing  within  eukaryotic  sex  due  to  the  haploid-diploid  cycle.This  short  paper  presents  a  simple  modification  to  the  standard  evolutionarycomputing  algorithm  to  similarly  benefit  from  the  process.  Using  the  well-knownNK  model  of  fitness  landscapes  it  is  shown  that  the  benefit  emerges  asruggedness  is  increased.</p>
http://arxiv.org/abs/1903.11621|Self-adaptive  decision-making  mechanisms  to  balance  the  execution  of  multiple  tasks  for  a  multi-robots  team.  (arXiv:1903.11621v1  [cs.RO])|<p>This  work  addresses  the  coordination  problem  of  multiple  robots  with  the  goalof  finding  specific  hazardous  targets  in  an  unknown  area  and  dealing  with  themcooperatively.  The  desired  behaviour  for  the  robotic  system  entails  multiplerequirements,  which  may  also  be  conflicting.  The  paper  presents  the  problem  asa  constrained  bi-objective  optimization  problem  in  which  mobile  robots  mustperform  two  specific  tasks  of  exploration  and  at  same  time  cooperation  andcoordination  for  disarming  the  hazardous  targets.  These  objectives  are  opposedgoals,  in  which  one  may  be  favored,  but  only  at  the  expense  of  the  other.Therefore,  a  good  trade-off  must  be  found.  For  this  purpose,  a  nature-inspiredapproach  and  an  analytical  mathematical  model  to  solve  this  problem  consideringa  single  equivalent  weighted  objective  function  are  presented.  The  results  ofproposed  coordination  model,  simulated  in  a  two  dimensional  terrain,  are  showedin  order  to  assess  the  behaviour  of  the  proposed  solution  to  tackle  thisproblem.  We  have  analyzed  the  performance  of  the  approach  and  the  influence  ofthe  weights  of  the  objective  function  under  different  conditions:  static  anddynamic.  In  this  latter  situation,  the  robots  may  fail  under  the  stringentlimited  budget  of  energy  or  for  hazardous  events.  The  paper  concludes  with  acritical  discussion  of  the  experimental  results.</p>
http://arxiv.org/abs/1903.11626|Bridging  Adversarial  Robustness  and  Gradient  Interpretability.  (arXiv:1903.11626v1  [cs.LG])|<p>Adversarial  training  is  a  training  scheme  designed  to  counter  adversarialattacks  by  augmenting  the  training  dataset  with  adversarial  examples.Surprisingly,  several  studies  have  observed  that  loss  gradients  fromadversarially  trained  DNNs  are  visually  more  interpretable  than  those  fromstandard  DNNs.  Although  this  phenomenon  is  interesting,  there  are  only  fewworks  that  have  offered  an  explanation.  In  this  paper,  we  attempted  to  bridgethis  gap  between  adversarial  robustness  and  gradient  interpretability.  To  thisend,  we  identified  that  loss  gradients  from  adversarially  trained  DNNs  alignbetter  with  human  perception  because  adversarial  training  restricts  gradientscloser  to  the  image  manifold.  We  then  demonstrated  that  adversarial  trainingcauses  loss  gradients  to  be  quantitatively  meaningful.  Finally,  we  showed  thatunder  the  adversarial  training  framework,  there  exists  an  empirical  trade-offbetween  test  accuracy  and  loss  gradient  interpretability  and  proposed  twopotential  approaches  to  resolving  this  trade-off.</p>
http://arxiv.org/abs/1903.11633|Laplace  Landmark  Localization.  (arXiv:1903.11633v1  [cs.CV])|<p>Landmark  localization  in  images  and  videos  is  a  classic  problem  solved  invarious  ways.  Nowadays,  with  deep  networks  prevailing  throughout  machinelearning,  there  are  revamped  interests  in  pushing  facial  landmark  detectiontechnologies  to  handle  more  challenging  data.  Most  efforts  use  networkobjectives  based  on  L1  or  L2  norms,  which  have  several  disadvantages.  First  ofall,  the  locations  of  landmarks  are  determined  from  generated  heatmaps  (i.e.,confidence  maps)  from  which  predicted  landmark  locations  (i.e.,  the  means)  getpenalized  without  accounting  for  the  spread:  a  high  scatter  corresponds  to  lowconfidence  and  vice-versa.  For  this,  we  introduce  a  LaplaceKL  objective  thatpenalizes  for  a  low  confidence.  Another  issue  is  a  dependency  on  labeled  data,which  are  expensive  to  obtain  and  susceptible  to  error.  To  address  both  issueswe  propose  an  adversarial  training  framework  that  leverages  unlabeled  data  toimprove  model  performance.  Our  method  claims  state-of-the-art  on  all  of  the300W  benchmarks  and  ranks  second-to-best  on  the  Annotated  Facial  Landmarks  inthe  Wild  (AFLW)  dataset.  Furthermore,  our  model  is  robust  with  a  reduced  size:1/8  the  number  of  channels  (i.e.,  0.0398MB)  is  comparable  to  state-of-that-artin  real-time  on  CPU.  Thus,  we  show  that  our  method  is  of  high  practical  valueto  real-life  application.</p>
http://arxiv.org/abs/1903.11635|Fourier  Entropy-Influence  Conjecture  for  Random  Linear  Threshold  Functions.  (arXiv:1903.11635v1  [cs.CC])|<p>The  Fourier-Entropy  Influence  (FEI)  Conjecture  states  that  for  any  Booleanfunction  $f:{+1,-1}^n  	o  {+1,-1}$,  the  Fourier  entropy  of  $f$  is  at  mostits  influence  up  to  a  universal  constant  factor.  While  the  FEI  conjecture  hasbeen  proved  for  many  classes  of  Boolean  functions,  it  is  still  not  knownwhether  it  holds  for  the  class  of  Linear  Threshold  Functions.  A  naturalquestion  is:  Does  the  FEI  conjecture  hold  for  a  `random'  linear  thresholdfunction?  In  this  paper,  we  answer  this  question  in  the  affirmative.  Weconsider  two  natural  distributions  on  the  weights  defining  a  linear  thresholdfunction,  namely  uniform  distribution  on  $[-1,1]$  and  Normal  distribution.</p>
http://arxiv.org/abs/1903.11640|Fundamental  Limits  of  Covert  Packet  Insertion.  (arXiv:1903.11640v1  [cs.CR])|<p>Covert  communication  conceals  the  existence  of  the  transmission  from  awatchful  adversary.  We  consider  the  fundamental  limits  for  covertcommunications  via  packet  insertion  over  packet  channels  whose  packet  timingsare  governed  by  a  renewal  process  of  rate  $lambda$.  Authorized  transmitterJack  sends  packets  to  authorized  receiver  Steve,  and  covert  transmitter  Alicewishes  to  transmit  packets  to  covert  receiver  Bob  without  being  detected  bywatchful  adversary  Willie.  Willie  cannot  authenticate  the  source  of  thepackets.  Hence,  he  looks  for  statistical  anomalies  in  the  packet  stream  fromJack  to  Steve  to  attempt  detection  of  unauthorized  packet  insertion.  First,  weconsider  a  special  case  where  the  packet  timings  are  governed  by  a  Poissonprocess  and  we  show  that  Alice  can  covertly  insert  $mathcal{O}(sqrt{lambdaT})$  packets  for  Bob  in  a  time  interval  of  length  $T$;  conversely,  if  Aliceinserts  $omega(sqrt{lambda  T})$,  she  will  be  detected  by  Willie  with  highprobability.  Then,  we  extend  our  results  to  general  renewal  channels  and  showthat  in  a  stream  of  $N$  packets  transmitted  by  Jack,  Alice  can  covertly  insert$mathcal{O}(sqrt{N})$  packets;  if  she  inserts  $omega(sqrt{N})$  packets,  shewill  be  detected  by  Willie  with  high  probability.</p>
http://arxiv.org/abs/1903.11649|Align2Ground:  Weakly  Supervised  Phrase  Grounding  Guided  by  Image-Caption  Alignment.  (arXiv:1903.11649v1  [cs.CV])|<p>We  address  the  problem  of  grounding  free-form  textual  phrases  by  using  weaksupervision  from  image-caption  pairs.  We  propose  a  novel  end-to-end  model  thatuses  caption-to-image  retrieval  as  a  `downstream'  task  to  guide  the  process  ofphrase  localization.  Our  method,  as  a  first  step,  infers  the  latentcorrespondences  between  regions-of-interest  (RoIs)  and  phrases  in  the  captionand  creates  a  discriminative  image  representation  using  these  matched  RoIs.  Ina  subsequent  step,  this  (learned)  representation  is  aligned  with  the  caption.Our  key  contribution  lies  in  building  this  `caption-conditioned'  image  encodingwhich  tightly  couples  both  the  tasks  and  allows  the  weak  supervision  toeffectively  guide  visual  grounding.  We  provide  an  extensive  empirical  andqualitative  analysis  to  investigate  the  different  components  of  our  proposedmodel  and  compare  it  with  competitive  baselines.  For  phrase  localization,  wereport  an  improvement  of  4.9%  (absolute)  over  the  prior  state-of-the-art  on  theVisualGenome  dataset.  We  also  report  results  that  are  at  par  with  thestate-of-the-art  on  the  downstream  caption-to-image  retrieval  task  on  COCO  andFlickr30k  datasets.</p>
http://arxiv.org/abs/1903.11650|Lens-based  Millimeter  Wave  Reconfigurable  Antenna  NOMA.  (arXiv:1903.11650v1  [cs.IT])|<p>This  paper  proposes  a  new  multiple  access  technique  based  on  the  millimeterwave  lens-based  reconfigurable  antenna  systems.  In  particular,  to  support  alarge  number  of  groups  of  users  with  different  angles  of  departures  (AoDs),  weintegrate  recently  proposed  reconfigurable  antenna  multiple  access  (RAMA)  intonon-orthogonal  multiple  access  (NOMA).  The  proposed  technique,  namedreconfigurable  antenna  NOMA  (RA-NOMA),  divides  the  users  with  respect  to  theirAoDs  and  channel  gains.  Users  with  different  AoDs  and  comparable  channel  gainsare  served  via  RAMA  while  users  with  the  same  AoDs  but  different  channel  gainsare  served  via  NOMA.  This  technique  results  in  the  independence  of  the  numberof  radio  frequency  chains  from  the  number  of  NOMA  groups.  Further,  we  derivethe  feasibility  conditions  and  show  that  the  power  allocation  for  RA-NOMA  is  aconvex  problem.  We  then  derive  the  maximum  achievable  sum-rate  of  RA-NOMA.Simulation  results  show  that  RA-NOMA  outperforms  conventional  orthogonalmultiple  access  (OMA)  as  well  as  the  combination  of  RAMA  with  the  OMAtechniques.</p>
